name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
Hydraulophone,dpl_hydraulophone,Крейсер поддержки,Domain Phase Lab,dpl_missileoverload,16,4000,500,8500,15500,650,100,1,70,50,50,30,40,2000,OMNI,,180,0.4,0.6,,,135,320,135,150,3,50,10,150000,8,20,400,0.25,20,20,HIDE_IN_CODEX,"no_bp_drop, restricted",0.4,0.5,2,2,223,,,,,,,
Calliope,dpl_calliope,Крейсер поддержки,Domain Phase Lab,dpl_missileoverload,14,4000,500,8500,15500,650,150,1,70,50,50,30,40,2000,OMNI,,180,0.4,0.6,,,135,320,135,150,3,50,10,100000,8,20,400,0.25,20,20,,dpl_commercial_bp,0.8,0.5,2,2,224,,,,,,,
Acumen,dpl_pioneer,Мобильная лаборатория,Domain Phase Lab,flarelauncher_active,14,4000,500,12500,15500,750,100,1,70,50,50,30,40,2000,FRONT,,360,0.4,0.8,,,150,450,150,150,3,50,10,200000,8,20,400,0.25,20,20,,"dpl_experimental_bp, no_bp_drop, no_sell",0.4,0.5,2,2,225,,,,,,,
Acuity,dpl_innovator,Крейсер поддержки,Domain Phase Lab,dpl_missileoverload,14,4000,500,12500,15500,750,150,,70,50,50,30,40,2000,FRONT,,360,0.4,0.8,,,150,450,150,150,3,50,10,200000,8,20,400,0.25,24,24,HIDE_IN_CODEX,"no_bp_drop, restricted",0.4,0.5,2,2,225,,,,,,,
Clarinet,dpl_clarinet,Фазовый эсминец,Domain Phase Lab,dpl_mote_launcher,15,3500,500,4500,6000,400,75,,125,90,85,55,120,700,PHASE,phasecloak,90,,,0.1,0.025,5,15,30,60,1,50,10,35000,10,50,270,0.2,20,20,,"no_bp_drop, restricted, codex_unlockable",,0.5,2,2,241,,,,,,,
Oboe,dpl_oboe,Фазовый эсминец,Domain Phase Lab,dpl_fluxdisruptor,15,1500,300,4000,5000,350,75,,120,85,80,60,125,800,PHASE,phasecloak,90,,,0.1,0.025,5,15,30,60,1,50,10,35000,10,40,270,0.2,20,20,,dpl_commercial_bp,0.75,0.5,2,2,252,,,,,,,
Enmity,dpl_enmity,Фазовый эсминец,Domain Phase Lab,forgevats,18,6500,650,7000,5000,550,125,,100,75,50,30,30,500,PHASE,phasecloak,90,,,0.1,0.025,5,15,30,60,1,50,10,40000,10,40,270,0.2,25,25,,"dpl_navy_bp, no_bp_drop",0.7,0.5,2,2,252,,,,,,,
Lab Minelayer,dpl_minelayer,Фазовый эсминец,Domain Phase Lab,dpl_lay_mines,15,5500,600,3500,5000,300,65,,120,85,80,60,125,800,PHASE,phasecloak,90,,,0.1,0.025,5,15,30,60,1,50,10,35000,10,40,270,0.2,15,15,,dpl_commercial_bp,0.75,0.5,2,2,252,,,,,,,
Bagpipe,dpl_bagpipe,Фазовый эсминец,Domain Phase Lab,dpl_graviton_projection,12,3500,400,4000,5000,250,85,,120,85,80,60,125,800,PHASE,phasecloak,90,,,0.1,0.025,5,15,30,60,1,50,10,35000,10,40,270,0.2,14,14,,dpl_commercial_bp,0.75,0.5,2,2,252,,,,,,,
Trumpet,dpl_trumpet,Эсминец,Domain Phase Lab,dpl_phase_lightning,12,4500,400,6000,5800,400,100,,100,100,80,35,80,300,OMNI,,180,0.3,0.8,,,20,40,40,60,2,30,10,50000,5,20,300,0.25,12,12,,dpl_commercial_bp,0.7,0.5,2,3,253,,,,,,,
Flumpet,dpl_flumpet,Лёгкий авианосец,Domain Phase Lab,highenergyfocus,14,3500,350,5500,5800,400,100,2,100,100,80,35,80,300,OMNI,,180,0.5,1.0,,,20,40,40,60,2,30,10,50000,5,20,300,0.25,14,14,CARRIER,dpl_commercial_bp,0.7,0.5,2,3,254,,,,,,,
Flugelhorn,dpl_flugelhorn,Эскортный эсминец,Domain Phase Lab,dpl_plasma_coupling,14,4500,400,6500,5800,450,120,,100,50,40,25,40,1200,FRONT,,300,0.6,0.9,,,20,40,40,60,2,30,10,50000,6,30,300,0.25,14,14,,"dpl_navy_bp, no_bp_drop",0.6,0.5,2,3,253,,,,,,,
Baritone,dpl_baritone,Лёгкий крейсер,Domain Phase Lab,maneuveringjets,16,5500,550,10000,12000,700,150,,75,100,80,30,60,650,OMNI,,180,0.5,0.8,,,60,120,60,80,3,27,9,120000,4,15,420,0.25,25,25,,dpl_commercial_bp,0.7,0.5,2,3,415,,,,,,,
Trombone,dpl_trombone,Флотский авианосец,Domain Phase Lab,dpl_emergency_deployment,17,4500,550,5000,6000,300,120,3,70,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,CARRIER,dpl_commercial_bp,0.7,0.5,2,3,407,,,,,,,
Mellophone,dpl_mellophone,Носитель дронов,Domain Phase Lab,dpl_drone_drive,14,5500,550,10500,12000,725,120,2,80,50,25,25,25,650,OMNI,,180,0.5,1.0,,,60,120,60,80,3,27,9,80000,4,15,420,0.25,20,20,CARRIER,dpl_commercial_bp,0.7,0.5,2,3,415,,,,,,,
Persean Express,dpl_persean_express,Вооружённый транспорт,Domain Phase Lab,burndrive,5,10000,1250,8000,6000,400,120,,40,15,10,12,6,1500,OMNI,,180,0.4,0.8,,,80,300,750,210,3,70,8,60000,5,10,540,0.25,15,15,,dpl_commercial_bp,0.95,0.4,2,3,402,,,,,,,
Euphonium,dpl_euphonium,Anti Air Cruiser,Domain Phase Lab,microburn,20,7500,750,10000,12000,700,150,,60,40,30,20,25,1000,FRONT,,360,0.4,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,25,25,,"dpl_navy_bp, no_bp_drop",0.4,0.5,3,3,403,,,,,,,
Bassoon,dpl_bassoon,Элитный крейсер,Domain Phase Lab,dpl_experimental_weapon,20,8500,800,8500,20000,750,140,,70,25,25,15,30,2000,FRONT,,360,0.4,0.7,,,100,150,150,200,4,50,9,200000,8,40,420,0.2,20,20,,"no_bp_drop, restricted, codex_unlockable",,0.5,2,3,263,,,,,,,
Tenoroon,dpl_tenoroon,Фазовый крейсер,Domain Phase Lab,highenergyfocus,23,7500,950,7500,20000,650,140,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,250000,8,40,270,0.2,40,40,,"dpl_navy_bp, no_bp_drop",0.5,0.5,2,3,274,,,,,,,
Tenoroon,dpl_tenoroon_dmtnt,Фазовый крейсер,Domain Phase Lab,highenergyfocus,30,7500,950,7500,20000,650,70,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,"UNBOARDABLE, HIDE_IN_CODEX","no_bp_drop, restricted",0.5,0.5,2,3,274,,,,,,,
Panpipes,dpl_panpipes,Фазовый крейсер,Domain Phase Lab,dpl_mote_strike,23,8000,950,7500,20000,550,80,,50,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,,"no_bp_drop, restricted, codex_unlockable",0.5,0.5,2,3,274,,,,,,,
Dudelsa,dpl_dudelsa,Фазовый крейсер,Domain Phase Lab,forgevats,24,7500,1000,6000,20000,500,115,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,36,36,,"dpl_navy_bp, no_bp_drop",0.5,0.5,2,3,274,,,,,,,
Dudelsa,dpl_dudelsa_dmtnt,Фазовый крейсер,Domain Phase Lab,forgevats,24,7500,1000,6000,20000,500,115,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,36,36,"UNBOARDABLE, HIDE_IN_CODEX","no_bp_drop, restricted",0.5,0.5,2,3,274,,,,,,,
Nightmare,dpl_nightmare,Фазовый крейсер,Domain Phase Lab,ammofeed,25,12500,1500,12500,18000,800,220,,60,50,40,20,25,1500,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,35,35,,"dpl_navy_bp, no_bp_drop",0.5,0.5,2,3,274,,,,,,,
Reedpipe,dpl_reedpipe,Фазовый крейсер,Domain Phase Lab,dpl_phase_encapsulation,15,7500,1150,6000,20000,500,110,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,16,16,,"dpl_navy_bp, no_bp_drop",0.5,0.5,2,3,274,,,,,,,
Tuba,dpl_tuba,Тяжёлый крейсер,Domain Phase Lab,plasmajets,20,8500,800,12000,16000,800,165,,80,50,25,25,25,1800,FRONT,,300,0.4,0.7,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,dpl_commercial_bp,0.6,0.6,2,3,405,,,,,,,
Sousaphone,dpl_sousaphone,Большой крейсер,Domain Phase Lab,dpl_plasma_injector,24,10000,850,10000,16000,600,180,,65,30,20,15,15,2250,OMNI,,180,0.3,1.0,,,150,250,200,120,4,30,7,350000,4,20,420,0.25,26,26,,"dpl_navy_bp, no_bp_drop",0.45,0.6,2,3,405,,,,,,,
Saxophone,dpl_saxophone,Линейный крейсер,Domain Phase Lab,microburn,28,12000,1200,12000,16000,1000,260,,50,30,20,15,15,3000,OMNI,,180,0.3,0.8,,,400,600,400,400,10,40,8,450000,4,20,600,0.25,45,45,,"dpl_navy_bp, no_bp_drop",0.4,0.6,2,3,406,,,,,,,
Bass Saxophone,dpl_bass_saxophone,Линейный крейсер,Domain Phase Lab,dpl_plasma_recharger,26,11000,950,18000,16000,1250,280,,45,30,20,15,15,3000,OMNI,,180,0.25,1.1,,,400,600,400,400,10,40,8,450000,4,20,600,0.25,40,40,,"dpl_navy_bp, no_bp_drop",0.4,0.6,2,3,406,,,,,,,
Jazzophone,dpl_jazzophone,Линейный крейсер,Domain Phase Lab,temporalshell,26,10000,900,16000,16000,1000,300,,50,50,40,8,12,3800,OMNI,,180,0.4,0.8,,,400,600,400,400,10,40,8,450000,4,20,600,0.25,50,50,,"dpl_domain_bp, no_bp_drop",0.4,0.6,2,3,406,,,,,,,
Sacra Machina,dpl_sacra_machina,Линейный крейсер,Domain Phase Lab,temporalshell,32,11500,1050,18000,25000,1200,360,,50,50,40,8,12,3800,OMNI,,180,0.4,0.8,,,400,800,400,450,8,56,8,500000,4,20,600,0.25,60,60,"SHIP_WITH_MODULES, HIDE_IN_CODEX","no_bp_drop, restricted",,0.6,2,4,505,,,,,,,
Onslaught (DPL),dpl_onslaught_alt,Линкор,Domain Phase Lab,burndrive,30,20000,1700,20000,15000,900,360,,30,10,10,4,4,3500,FRONT,,180,0.4,0.8,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,"dpl_navy_bp, no_bp_drop",0.5,0.4,2,4,500,,,,,,,
Lion Anthem,dpl_lion_anthem,Линкор,Lion's Guard,highenergyfocus,30,17500,1500,14000,12500,550,350,,35,35,25,6,6,3000,FRONT,,270,0.8,0.8,,,500,600,400,300,10,30,7,400000,4,12,720,0.25,50,50,,,0.4,0.5,2,4,512,,,,,,,
Sarrusophone,dpl_sarrusophone,Линкор,Domain Phase Lab,plasmajets,30,16000,1250,15500,25000,1200,330,,45,20,15,4,4,2500,OMNI,,180,0.25,0.6,,,400,800,400,450,8,56,8,400000,4,20,600,0.25,45,45,,"dpl_navy_bp, no_bp_drop",0.5,0.4,2,4,503,,,,,,,
Mad Hooks,dpl_mad_hooks,Дредноут,Low Tech,lidararray,35,40000,10000,30000,12500,750,300,4,35,15,15,4,4,10000,PHASE,ammofeed,0,0,0,,,4000,6000,1000,800,20,40,6,700000,3,12,1200,0.25,75,75,"HIDE_IN_CODEX, NEVER_DODGE_MISSILES",,,0.2,2,2,511,,,,,,,
Mad Hooks,dpl_mad_hooks_boss,Дредноут,Low Tech,lidararray,35,40000,10000,30000,12500,1050,300,4,35,15,15,4,4,10000,NONE,,0,0,0,,,4000,6000,1000,800,20,40,6,700000,3,12,1200,0.25,75,75,"UNBOARDABLE, HIDE_IN_CODEX, NEVER_DODGE_MISSILES",,,0.2,2,2,511,,,,,,,
Aulochrome,dpl_aulochrome,Линкор,Domain Phase Lab,dpl_energyfeed,35,16500,1200,26000,32000,1350,360,,40,10,10,8,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,600000,4,20,720,0.25,60,60,,"dpl_domain_bp, no_bp_drop, no_sell",0.4,0.6,2,4,504,,,,,,,
Aulochrome,dpl_aulochrome_salazar,Линкор,Domain Phase Lab,dpl_energyfeed,35,16500,1200,30000,32000,1650,240,,40,10,10,8,5,3500,OMNI,,360,0.6,0.5,,,400,1000,300,300,10,30,7,600000,4,20,720,0.25,60,60,"UNBOARDABLE, HIDE_IN_CODEX",,,0.6,2,4,504,,,,,,,
Orchestra,dpl_orchestra,Суперфлагман,Domain Phase Lab,dpl_burndrive,50,25000,1550,26000,32000,1550,360,,25,5,5,3,2,6000,PHASE,dpl_plasma_inducer,0,0,0,,,600,1500,1200,800,20,40,6,800000,4,20,720,0.25,80,80,SHIP_WITH_MODULES,"no_bp_drop, no_sell, restricted, codex_unlockable",0.1,0.6,2,4,504,,,,,,,
Orchestra,dpl_orchestraB,Суперфлагман,Domain Phase Lab,dpl_burndrive,50,25000,1550,26000,32000,1550,360,,25,5,5,3,2,8000,PHASE,dpl_plasma_inducer,0,0,0,,,600,1500,1200,800,20,40,6,800000,4,20,720,0.25,80,80,SHIP_WITH_MODULES,"no_bp_drop, no_sell, restricted, codex_unlockable",0.1,0.6,2,4,504,,,,,,,
Orchestra,dpl_orchestraC,Суперфлагман,Domain Phase Lab,dpl_burndrive,50,25000,1550,26000,32000,1550,360,,25,5,5,3,2,8000,PHASE,dpl_plasma_inducer,0,0,0,,,600,1500,1200,800,20,40,6,800000,4,20,720,0.25,80,80,SHIP_WITH_MODULES,"no_bp_drop, no_sell, restricted, codex_unlockable",0.1,0.6,2,4,504,,,,,,,
Cimbasso,dpl_cimbasso,Авианосец,Domain Phase Lab,targetingfeed,35,20000,1250,20000,12500,1000,300,6,35,15,15,4,4,10000,OMNI,,360,0.6,1.0,,,4000,6000,1000,600,15,40,6,500000,4,20,800,0.25,50,50,"CARRIER, COMBAT, NO_AUTO_ESCORT","dpl_domain_bp, no_bp_drop, no_sell",0.2,0.2,2,2,501,,,,,,,
Cimbasso,dpl_cimbasso_banach,Авианосец,Domain Phase Lab,targetingfeed,35,20000,1250,20000,12500,1000,100,6,35,15,15,4,4,10000,OMNI,,360,0.6,0.4,,,4000,6000,1000,600,15,40,6,500000,4,20,800,0.25,50,50,"CARRIER, COMBAT, NO_AUTO_ESCORT, UNBOARDABLE, HIDE_IN_CODEX",,0.2,0.2,2,2,501,,,,,,,
Warhorn,dpl_warhorn,Боевой авианосец,Domain Phase Lab,dpl_fast_replacement,30,20500,1600,18000,12500,1000,300,4,30,15,15,6,6,3500,FRONT,,270,0.4,0.8,,,700,1500,300,300,15,20,7,375000,3,12,720,0.25,40,40,"CARRIER, COMBAT, NO_AUTO_ESCORT","dpl_navy_bp, no_bp_drop",,0.4,2,4,507,,,,,,,
Invictus (DPL),dpl_invictus_alt,Крепостной авианосец,Domain Phase Lab,dpl_phase_enhanced_shield,35,20000,1250,20000,12500,1000,300,6,35,15,15,4,4,10000,OMNI,,360,0.6,1.0,,,4000,6000,1000,600,15,40,6,500000,4,20,800,0.25,50,50,"CARRIER, COMBAT, NO_AUTO_ESCORT","dpl_domain_bp, no_bp_drop, no_sell",0.2,0.2,2,2,501,,,,,,,
Lab Transport,dpl_lab_transport,Транспорт DPL,Domain Phase Lab,burndrive,8,25000,2500,4000,5000,200,90,,30,5,2,3,2,4000,NONE,,,,,,,50,2000,4500,4000,10,400,6,300000,2,20,750,0.25,20,20,"CIVILIAN, FREIGHTER","dpl_domain_bp, no_bp_drop, no_sell",0.2,0.5,2,4,502,,,,,,,
HELA Transport Ship,dpl_gate_transport,Транспорт HELA,Domain Phase Lab,burndrive,4,25000,2000,4000,5000,200,0,,30,5,2,3,2,4000,NONE,,,,,,,10,50,0,4000,10,400,6,0,2,20,750,0.25,20,20,"HIDE_IN_CODEX, CIVILIAN, FREIGHTER","no_bp_drop, no_sell, restricted",0.2,0.5,2,4,502,,,,,,,
Piano,dpl_piano,Фазовый капитальный корабль,DPL Classified,dpl_mote_strike,40,14000,1500,14500,30000,1000,225,,35,15,15,4,4,3000,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,500000,3,50,600,0.25,75,75,HIDE_IN_CODEX,,,0.4,2,3,510,,,,,,,
Piano,dpl_piano_dmtnt,Фазовый капитальный корабль,DPL Classified,dpl_mote_strike,50,14000,1500,14500,30000,1000,150,,35,15,15,4,4,3000,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,500000,3,50,600,0.25,75,75,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,510,,,,,,,
Vibraphone,dpl_vibraphone,Вечная стража,Domain Phase Lab,highenergyfocus,100,15000,1600,15000,20000,1000,180,,40,50,50,20,30,2400,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,500000,3,50,600,0.25,100,100,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,510,,,,,,,
Vibraphone,dpl_vibraphone_boss,Вечная стража,Domain Phase Lab,highenergyfocus,100,15000,1600,15000,20000,1000,180,,40,50,50,20,30,2400,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,500000,3,50,600,0.25,100,100,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,510,,,,,,,
Vibraphone,dpl_vibraphone_wreck,Вечная стража,Domain Phase Lab,,5,15000,1600,15000,20000,1000,0,,40,50,50,20,30,2400,NONE,,0,0,0,,,30,40,200,500,10,50,7,1,3,50,600,0.25,5,5,HIDE_IN_CODEX,,,0.4,2,3,510,,,,,,,
Theater Organ,dpl_theater_organ,Абсолютный фазовый капитальный корабль,DPL Classified,flarelauncher_active,50,8000,1250,40000,30000,1200,180,,5,0.5,0.5,0.1,0.05,5000,PHASE,phasecloak,,,,0.03,0.03,1000,1200,200,500,10,50,3,500000,3,80,600,0.5,85,85,HIDE_IN_CODEX,,,0.5,2,3,285,,,,,,,
Theater Organ,dpl_theater_organ_boss,Абсолютный капитальный корабль,Imperium Wonder Weapon,dpl_energyfeed,200,20000,1200,80000,30000,1500,180,,3,0.5,0.5,0.05,0.025,5000,NONE,,0,0,0,,,1000,1200,200,500,10,50,3,500000,3,80,,,160,160,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE",,,0.5,2,3,285,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornet,dpl_cornet,Элитный эсминец,Domain Phase Lab,dpl_fluxdisruptor,12,2250,250,4000,6667,350,100,,100,90,60,40,100,300,OMNI,,180,0.3,0.6,,,50,70,60,50,2,25,9,80000,5,20,300,0.25,18,18,HIDE_IN_CODEX,"no_bp_drop, restricted",0.4,0.5,2,3,262,,,,,,,
Whisper,dpl_whisper,Элитный эсминец,Domain Phase Lab,phaseteleporter,12,3000,300,7500,6667,500,120,,100,90,60,40,100,300,OMNI,,180,0.3,0.6,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,25,25,HIDE_IN_CODEX,"no_bp_drop, restricted",,0.7,2,3,309,,,,,,,
