name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip
Project Taffeta,tahlan_taffeta,3,0.2,4000,700,,500,,30,15,15,,,,KINETIC,500,,0.5,3.5,,,0,0,0,0,,1500,,,300,,"kinetic15, tahlan_lostech, no_dealer",,[database_error],,Против щитов,,,,,"Снаряды разбиваются при попадании, разделяясь на %s осколков, разлетающихся дугой 360 градусов. Каждый осколок наносит %s и %s урона и имеет небольшой шанс создать дугу с высоким дополнительным ЭМИ-уроном при попадании. При стрельбе генерирует до %s дополнительного потока.",20 | 5 kinetic | 50 emp | 200,"Дальность снижена на %s, если установлено в слот типа %s.",100su | energy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Kassadari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyrion Blaster Cannon,tahlan_porph,3,0.2,4000,800,,600,300,30,12,15,,,,ENERGY,840,,0.5,2,1,0,0,0,0,0,,600,,,30,,"energy16, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Универсальное,,,,,"При попадании вызывает взрыв, наносящий ближайшим объектам %s осколочного урона",200,,,
Styrix Kinetic Driver,tahlan_styrix,3,0.2,5000,1200,,350,,50,6,28,,,,KINETIC,420,,0.2,3.6,3,0.2,0,5,1,2,,1200,,,400,,"kinetic20, LR, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против щитов,,,,,"Миниатюрная АМ-боевая часть детонирует при попадании по броне или корпусу, нанося дополнительно от %s до %s энергетического урона",10 | 50,,,
Magaera Twin-linked Railgun,tahlan_magaera,3,0.2,4000,1100,,100,,15,15,14,,,,KINETIC,130,,0,1.2,,,0,10,2,5,,1100,,,300,,"kinetic15, LR, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против щитов,,,,,,,,,
Gallant Light Railgun,tahlan_gallant,3,0.2,700,900,,100,,15,15,7,,,,KINETIC,110,,0,0.8,,,0,10,2,5,,1100,,,300,,"kinetic7, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против щитов,,,,,,,,,
Gardion Superrail Cannon,tahlan_atrapos,3,0.2,2000,1100,,300,,0,15,14,,,,HIGH_EXPLOSIVE,480,,0.4,2.6,1,,0,2,1,1,,1200,,,100,,"he15, LR, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,,,,,"Боевая часть Fracture детонирует при попадании по броне или корпусу, нанося дополнительно %s осколочного урона",200,,,
Hekaton-class Torpedo Launcher,tahlan_hekaton,3,0.2,2000,1200,,1000,500,30,10,14,12,,,HIGH_EXPLOSIVE,0,,0,7.7,2,0.3,0,0,0,0,,600,100,3,350,STRIKE,"strike16, rocket12, tahlan_knight_bp, rare_bp, tahlan_knights",,The Great Houses,,Торпедное,Fast,None,,,Наносит дополнительный энергетический урон %s при попадании,400,"Может создавать до %s дуг, наносящих %s энергетического и %s ЭМИ-урона; дуги могут пробивать щиты при высоком уровне потока цели",3 | 100 | 200,TRUE
Hekaton Repeater,tahlan_hekaton_repeater,3,0.2,2000,1200,,1000,500,30,10,26,40,,,HIGH_EXPLOSIVE,0,,0,5,2,0.3,0,0,0,0,,600,100,3,350,"STRIKE, DO_NOT_CONSERVE, USE_VS_FRIGATES","strike10, rocket18, tahlan_knight_bp, rare_bp, tahlan_knights",,The Great Houses,,Торпедное,Fast,None,,,Наносит дополнительный энергетический урон %s при попадании,400,"Может создавать до %s дуг, наносящих %s энергетического и %s ЭМИ-урона; дуги могут пробивать щиты при высоком уровне потока цели",3 | 100 | 200,TRUE
Hekaton-class Torpedo (single),tahlan_hekaton_fighter,3,0.2,600,1200,,1000,500,30,15,2,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,600,100,3,350,STRIKE,"strike4, rocket2, tahlan_knight_bp, rare_bp, tahlan_knights",,The Great Houses,,Торпедное,Fast,None,,,Наносит дополнительный энергетический урон %s при попадании,400,"Может создавать до %s дуг, наносящих %s энергетического и %s ЭМИ-урона; дуги могут пробивать щиты при высоком уровне потока цели",3 | 100 | 200,TRUE
Hekaton-class Torpedo,tahlan_hekaton_rack,3,0.2,600,1200,,1000,500,30,15,4,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,600,100,3,350,STRIKE,"strike6, rocket4, tahlan_knight_bp, rare_bp, tahlan_knights",,The Great Houses,,Торпедное,Fast,None,,,Наносит дополнительный энергетический урон %s при попадании,400,"Может создавать до %s дуг, наносящих %s энергетического и %s ЭМИ-урона; дуги могут пробивать щиты при высоком уровне потока цели",3 | 100 | 200,TRUE
Teltrite Impactor Gun,tahlan_teltrite,3,0.2,400,500,,100,,,120,4,,,,KINETIC,50,,0,1,,,0,0,0,0,,3000,,,100,PD,"pd8, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,ПВО,,,,,,,,,
Volkite Cannon,tahlan_volkite,3,0.2,500,300,,50,,,120,6,30,5,10,FRAGMENTATION,10,,0,0.1,,,0,12,6,8,,1000,,,20,PD,"pd10, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,ПВО,,,,,,,,,
Volkite Battery,tahlan_dualvolkite,3,0.2,1500,350,,50,,,120,12,60,10,20,FRAGMENTATION,10,,0,0.1,,,0,12,6,8,,1000,,,20,PD,"pd10, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,ПВО,,,,,,,,,
Numeon Heavy Cannon,tahlan_astrix,3,0.2,4500,900,,200,,20,13,15,,,,HIGH_EXPLOSIVE,260,,0,2.2,,,,,,,,700,,,100,,"he15, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,,,,,Каждый снаряд при попадании наносит дополнительный энергетический урон %s,50,,,
Pendragon MIRV Catapult,tahlan_pendragon,3,0.6,4000,2500,,250,,100,10,12,6,,,HIGH_EXPLOSIVE,,,,10,,,,,,,,800,800,2.5,200,"STRIKE, GUIDED_POOR","he15, strike15, missile12, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,Fast,Good,,,,,,,
Gardas Hyperrail Cannon,tahlan_gardas,3,0.2,7000,1200,,500,,100,5,28,,,,HIGH_EXPLOSIVE,800,,0.5,2,1,,0,2,1,1,,1200,,,100,,"he20, LR, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,,,,,"Боевая часть Fracture детонирует при попадании по броне или корпусу, нанося дополнительно %s осколочного урона",400,,,
Ronka Blastcannon,tahlan_ronka,3,0.2,4000,700,,100,,10,30,12,,,,HIGH_EXPLOSIVE,80,,0,0.5,,,1,6,1,3,,800,,,30,"PD, PD_ALSO","he12, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Многоцелевое,,,,,Снаряды оснащены боевыми частями с взрывателем близости,,,,
Anumis Superheavy Cannon,tahlan_anumis,3,0.2,8000,1000,,500,,50,8,26,,,,HIGH_EXPLOSIVE,650,,0,4.2,,,0,0,0,0,,700,,,100,,"he20, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,,,,,Каждый снаряд при попадании наносит дополнительный энергетический урон %s,100,,,
Ramun Siege Microcannon,tahlan_ramun,3,0.2,1000,900,,50,,20,15,8,,,,HIGH_EXPLOSIVE,50,,0,0.5,,,1,8,1,3,,700,,,50,,"he8, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против брони,,,,,,,,,
Karion Seeker Battery,tahlan_karionbat,3,0.3,1500,1500,,50,300,10,15,12,24,0.6,6,ENERGY,100,,0,5,6,0.2,,,,,,400,200,4,200,"DO_NOT_AIM, FIRE_WHEN_INEFFICIENT","energy12, missile12, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Поддержка,,,,,"При попадании создаёт до %s ЭМИ-дуг, каждая наносит %s ЭМИ-урона и может пробивать щиты при высоком потоке цели",2 | 100,,,
Fountain Twin Swarmer,tahlan_fountain,3,0.2,5000,1500,,100,,10,12,20,224,,,HIGH_EXPLOSIVE,,,0,9,14,0.2,,,,,,300,100,7,40,DO_NOT_AIM,"he14, missile15, rare_bp, tahlan_knight_bp, tahlan_knights, remnant",,The Great Houses,,Огневая поддержка,Medium,Excellent,,,,,,,
Fount Swarmer,tahlan_fount,3,0.2,2500,1500,,100,,10,12,12,96,,,HIGH_EXPLOSIVE,,,0,9,6,0.2,,,,,,300,100,7,40,DO_NOT_AIM,"he10, missile13, rare_bp, tahlan_knight_bp, tahlan_knights, remnant",,The Great Houses,,Огневая поддержка,Medium,Excellent,,,,,,,
Praxus Rotary Nailer,tahlan_praxus,3,0.2,2300,650,,40,,5,15,13,30,5,15,KINETIC,44,,0.1,0,5,0.1,0,4,0.2,0.2,,1000,,,50,,"kinetic12, rare_bp, tahlan_knight_bp, tahlan_knights, remnant",,The Great Houses,,Подавление,,,,,"Стреляет снарядами с миниатюрными боевыми частями Fracture, наносящими %s осколочного урона в небольшой области при попадании",20,,,
Alteria Heavy Railgun,tahlan_alteria,3,0.2,5000,1000,,400,,25,8,26,,,,KINETIC,480,,0.1,0.9,,,0,5,1,2,,1100,,,400,,"kinetic20, remnant, rare_bp, tahlan_knight_bp, tahlan_knights",,The Great Houses,,Против щитов,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pirate/Legio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcharged Fusion Torch,tahlan_fusor,1,0.8,1000,450,,100,,10,15,10,100,10,50,FRAGMENTATION,15,,0,0.05,5,0.05,1,2,1,1,,900,,,100,USE_LESS_VS_SHIELDS,"energy10, SR, pirate_bp",,Common,,Универсальное,,,,,Наносит дополнительно от %s до %s фугасного урона при попадании по броне/корпусу,2 | 10,,,
Deathgaze Assault Laser,tahlan_eradicator,2,0.8,2500,800,1000,,,50,7,22,40,3,20,ENERGY,,1000,0,0,0.1,0,,,,,10000,,,,,"STRIKE, USE_VS_FRIGATES, USE_LESS_VS_SHIELDS","energy16, rare_bp, strike16",,Pirate,,Штурмовое,,,,,"Попадания по броне или корпусу выпускают %s дуг в секунду, каждая наносит %s урона",4 | 100 energy,,,
Balor Smartgun,tahlan_balor,3,0.6,8000,1000,,300,,20,8,24,,,,HIGH_EXPLOSIVE,300,,0,0.8,,,0,0,0,0,,600,,,200,GUIDED_POOR,"he18, rare_bp, tahlan_legio_bp, tahlan_legio",,Legio Infernalis,,Против брони,,,,Homing,«Умные» снаряды имеют ограниченное наведение на первоначальную цель,,,,
Tethra Smartgun,tahlan_tethra,3,0.6,4000,1000,,100,,10,12,14,,,,HIGH_EXPLOSIVE,100,,0,0.4,,,0,0,0,0,,600,,,200,GUIDED_POOR,"he13, rare_bp, tahlan_legio_bp, tahlan_legio",,Legio Infernalis,,Против брони,,,,Homing,«Умные» снаряды имеют ограниченное наведение на первоначальную цель,,,,
Conand Autocannon,tahlan_conand,2,0.6,3000,800,,20,20,1,16,12,,,,KINETIC,18,,,0.5,5,0.1,1,7,1,3,,1200,,,100,,"kinetic13, rare_bp, tahlan_legio_bp, tahlan_legio",,Legio Infernalis,,Против щитов,,,,,,,,,
Goll Overcharge Cannon,tahlan_goll,2,0.7,2500,700,,50,100,1,14,12,,,,KINETIC,75,,0.3,1.7,,,4,4,4,0,,800,,,100,,"kinetic5, rare_bp, tahlan_legio_bp, tahlan_legio",,Legio Infernalis,,Подавление,,,,,Прямые попадания по броне или корпусу имеют %s шанс на каждый снаряд вызвать дополнительный дуговой ЭМИ-урон %s,20% | 100,,,
Manannan,tahlan_manannan,3,0.1,30000,3500,500,8000,4000,4000,10,40,6,0.05,2,ENERGY,0,,0,30,2,1,0,0,0,,,500,15,10,2000,STRIKE,"strike20, rocket20, no_sell, restricted",,Legio Infernalis,,Ядерное,Fast,None,,,"При попадании выпускает %s дуг, каждая наносит %s энергетического и ЭМИ-урона",20 | 400,"Анализ показал, что боевые части этих ракет содержат нестабильную систему самоуничтожения, которая сработает при пуске без кодов авторизации класса %s.",Scathach,TRUE
Monosabot SRM,tahlan_dreadsabot,1,,200,1200,,250,,15,30,5,6,,,KINETIC,0,,0,1,1,,0,0,0,0,,200,100,7,300,GUIDED_POOR,"missile8, strike2, tahlan_legio, tahlan_legio_bp, reload_3pt",,Legio Infernalis,,Против щитов,Slow,Poor,,,"Попадания суббоеприпасов по броне или корпусу вызывают до 4 дуг, каждая наносит %s ЭМИ-урона",250,,25% | 200,
Monosabot SRM Pod,tahlan_dreadsabotpod,2,,1200,1200,,250,,15,10,12,24,,,KINETIC,0,,0,5.5,2,0.5,0,0,0,0,,200,100,7,300,GUIDED_POOR,"missile13, strike8, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Против щитов,Slow,Poor,,,"Попадания суббоеприпасов по броне или корпусу вызывают до 4 дуг, каждая наносит %s ЭМИ-урона",250,,,
Hellspitter Cannon,tahlan_hellspitter,3,,7500,550,,500,,,20,26,,,,ENERGY,400,,0.15,0.601,1,,,,,,,750,,,500,"STRIKE, USE_VS_FRIGATES","energy20, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Универсальное,,,,,,,,,
Omna Swarmer,tahlan_omna,3,0.2,5000,1500,,200,200,10,12,10,240,,,FRAGMENTATION,,,0,10,12,0.1,,,,,,400,500,5,80,DO_NOT_AIM,"utility12, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Подавление,Medium,Excellent,,,"Ракеты при попадании выпускают дополнительные %s дуги, каждая наносит %S ЭМИ-урона. Дуги могут пробивать щиты целей с высоким потоком.",3 | 200,,,TRUE
Hades II MR Torpedo,tahlan_massresonance_sml,1,,1200,1200,,3000,,75,20,2,1,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,500,200,3,500,STRIKE,"strike8, rocket4, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Против крупных целей,Fast,None,,,Наносит дополнительный урон %s в зависимости от фактического размера цели по линейной шкале. Типичный капитальный корабль получает примерно %s дополнительного урона.,high-explosive | 2000,,,
Hades II MR Torpedo Tube,tahlan_massresonance_med,1,,1200,1200,,3000,,75,20,10,7,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,500,200,3,500,STRIKE,"strike13, rocket8, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Против крупных целей,Fast,None,,,Наносит дополнительный урон %s в зависимости от фактического размера цели по линейной шкале. Типичный капитальный корабль получает примерно %s дополнительного урона.,high-explosive | 2000,,,
Dual Hades II MR Torpedo,tahlan_massresonance_lrg,2,,5000,1200,,3000,,75,20,26,20,,,HIGH_EXPLOSIVE,0,,0,14.5,2,0.5,0,0,0,0,,500,300,3,500,STRIKE,"strike18, rocket14, tahlan_legio, tahlan_legio_bp",,Legio Infernalis,,Против крупных целей,Fast,None,,,Наносит дополнительный урон %s в зависимости от фактического размера цели по линейной шкале. Типичный капитальный корабль получает примерно %s дополнительного урона.,high-explosive | 2000,Ускорительная система разгоняет торпеду до максимальной скорости ещё до выхода из пусковой трубы.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
#Lifeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relparax Blaster,tahlan_relparax,3,0.2,4000,600,,150,300,20,15,12,,,,ENERGY,180,,0,0.5,,,,,,,,800,,,100,,"energy12, remnant, tahlan_lifeless_bp, no_dealer",,Unknown,,Подавление,,,,,"При каждом попадании создаёт до %s ЭМИ-дуг, которые могут пробивать щиты при высоком потоке цели; каждая наносит %s ЭМИ-урона",3 | 100,,,
Nenparax Beamer,tahlan_nenparax,3,0.3,,700,100,,,20,120,6,,,,ENERGY,,100,,,,,,,,,5000,,,,,"PD, PD_ALSO","energy9, remnant, tahlan_lifeless_bp, no_dealer",,Unknown,,ПВО,,,,,"Будет наводиться на ракеты и истребители, если в радиусе нет других целей",,,,
Disparax Plasma Cannon,tahlan_disparax,3,0.2,6000,800,,500,,50,20,26,,,,ENERGY,600,,0.3,2.5,3,0.1,,,,,,800,,,,,"he14, beam10, remnant, tahlan_lifeless_bp, no_dealer",,Unknown,,Универсальное,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garuda,tahlan_garuda,1,1,400,1500,,500,,50,30,20000,3,0.1,,ENERGY,100,,0,5,1,,0,0,0,,,700,100,2.4,150,"DO_NOT_AIM,SYSTEM, SHOW_IN_CODEX",,,High Tech,,Огневая поддержка,,,,,,,,,
Vector Ray,tahlan_vector_ray,1,,200,400,150,,,20,100,20000,,,,ENERGY,,150,0,0.25,,,,,,,2400,,,,,"PD, SYSTEM",,,Unknown,,ПВО,,,,,,,,,
Providence Edge,tahlan_providence_edge,1,,5000,1000,1000,,,50,5,20000,,,,ENERGY,,1000,0.1,0.1,,,,,,,5000,,,,,SYSTEM,,,Unknown,,Ударное,,,,,,,,,
Thermal Blast Cannon,tahlan_utpc,0,,100000,700,,250,,0,0,20000,3,0.3,3,ENERGY,250,,0,0.1,999999,0.3,0,5,1,2,,1000,,,,"SYSTEM,SHOW_IN_CODEX",,,,,Штурмовое,,,,,"За выстрел может создавать до %s осколочных снарядов, каждый наносит %s энергетического и ЭМИ-урона",5 | 50,Одиночные выстрелы можно выпускать вручную с более высокой скорострельностью,,
Heavy Thermal Blast Cannon,tahlan_utpc_l,0,,100000,900,,250,,0,0,20000,12,1,3,ENERGY,200,,0,0.1,999999,0.3,0,5,1,2,,1000,,,,"SYSTEM,SHOW_IN_CODEX",,,,,Штурмовое,,,,,"За выстрел может создавать до %s осколочных снарядов, каждый наносит %s энергетического и ЭМИ-урона",5 | 50,Одиночные выстрелы можно выпускать вручную с более высокой скорострельностью,,
Mining Lance,tahlan_mininglance,1,,1500,800,1500,,,0,20,20000,,,,ENERGY,,1500,0.25,0.5,1,5,0,,,,3200,,,,,SYSTEM,,,,,Универсальное,,,,,,,,,
Prism Coil,tahlan_prismcoil,3,,9999,500,,50,50,0,50,20000,30,2,20,ENERGY,50,,0.1,0.1,,,,,,,,5000,,,100,"SYSTEM, PD, PD_ALSO",,,,,Универсальное,,,,,"Выпускает электрические дуги, которые при избыточном уроне могут перекидываться на дополнительные цели",,,,
Nuboko Launcher,tahlan_nuboko_l,0,,5000,1500,,150,,,,20000,15,0.2,5,HIGH_EXPLOSIVE,,,0,5,5,0.1,,,,,,700,900,2,100,SYSTEM,,,The Great Houses,,Огневая поддержка,,,,,,,,,
Nuboko Launcher,tahlan_nuboko_r,0,,5000,1500,,150,,,,20000,15,0.2,5,HIGH_EXPLOSIVE,,,0,5,5,0.1,,,,,,700,900,2,100,SYSTEM,,,The Great Houses,,Огневая поддержка,,,,,,,,,
Disparax Proto,tahlan_disparax_proto,3,0.2,2000,800,,500,,0,20,20000,,,,ENERGY,650,,0.1,1.5,3,0.1,,,,,,800,,,,SYSTEM,,,Unknown,,Универсальное,,,,,,,,,
Fray Cannon,tahlan_fray,0,,3000,1200,,1200,,250,0,20000,,,,HIGH_EXPLOSIVE,1320,,0,4,1,,0,0,0,0,,600,,,400,SYSTEM,,,Pirate,,Против брони,,,,,,,,,
Compact Thermal Pulse Cannon,tahlan_tpc_s,0,,100000,1000,,250,,0,0,20000,10,1,,ENERGY,150,,0,0.2,1,,0,10,2,5,,1000,,,,"SYSTEM,SHOW_IN_CODEX",,TPC_only,,,Универсальное,,,,,,,,,
Dragonslayer Hammer Tube,tahlan_dragonslayer,0,,75,1200,,1500,,30,10,20000,3,0.02,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,500,40,4,350,"STRIKE, SYSTEM",,,,,Торпедное,Fast,None,,,,,,,TRUE
Fafnir Battery,tahlan_fafnir,3,,5000,1000,,400,100,50,15,20000,,,,ENERGY,400,,0.1,2.5,3,0.3,,5,1,2,,1200,,,400,SYSTEM,,,Common,,Универсальное,,,,,,,,,
Gae Bolg,tahlan_gaebolg,3,0.5,8000,1200,3000,,2000,0,7,20000,,,,ENERGY,,3000,1,1,2,5,,,,,10000,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,,,Подавление,,,,,"Попадания по корпусу или броне часто дают дуги на оружие и двигатели, нанося дополнительный ЭМИ и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жёсткого потока цели.",,,,
